town_id	assess_townID	town_name	fiscal year	name of zip	url
M060	60	CHESTERFIELD	2012	L3_SHP_M060_CHESTERFIELD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M060_CHESTERFIELD.zip
M061	61	CHICOPEE	2012	L3_SHP_M061_CHICOPEE.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M061_CHICOPEE.zip
M062	62	CHILMARK	2012	L3_SHP_M062_CHILMARK.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M062_CHILMARK.zip
M063	63	CLARKSBURG	2012	L3_SHP_M063_CLARKSBURG.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M063_CLARKSBURG.zip
M064	64	CLINTON	2011	L3_SHP_M064_CLINTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M064_CLINTON.zip
M065	65	COHASSET	2011	L3_SHP_M065_COHASSET.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M065_COHASSET.zip
M066	66	COLRAIN	2011	L3_SHP_M066_COLRAIN.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M066_COLRAIN.zip
M067	67	CONCORD	2011	L3_SHP_M067_CONCORD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M067_CONCORD.zip
M068	68	CONWAY	2011	L3_SHP_M068_CONWAY.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M068_CONWAY.zip
M069	69	CUMMINGTON	2011	L3_SHP_M069_CUMMINGTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M069_CUMMINGTON.zip
M070	70	DALTON	2012	L3_SHP_M070_DALTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M070_DALTON.zip
M071	71	DANVERS	2011	L3_SHP_M071_DANVERS.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M071_DANVERS.zip
M072	72	DARTMOUTH	2012	L3_SHP_M072_DARTMOUTH.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M072_DARTMOUTH.zip
M073	73	DEDHAM	2012	L3_SHP_M073_DEDHAM.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M073_DEDHAM.zip
M074	74	DEERFIELD	2012	L3_SHP_M074_DEERFIELD.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M074_DEERFIELD.zip
M075	75	DENNIS	2011	L3_SHP_M075_DENNIS.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M075_DENNIS.zip
M076	76	DIGHTON	2011	L3_SHP_M076_DIGHTON.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M076_DIGHTON.zip
M077	77	DOUGLAS	2011	L3_SHP_M077_DOUGLAS.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M077_DOUGLAS.zip
M078	78	DOVER	2012	L3_SHP_M078_DOVER.zip	http://wsgw.mass.gov/data/gispub/shape/l3parcels/L3_SHP_M078_DOVER.zip
