x_meters	y_meters	LOC_ID	TOWN_ID	FULL_STR	ADDR_NUM	used_SITE_ADDR
		M_55607_898830	150	ERSKINE DR	20	1
		M_55339_898421	150	GOLDEN HILL RD	117	1
		M_55715_898859	150	GOLDEN HILL	195	1
		M_55703_898822	150	GOLDEN HILL	175	1
		M_55692_898787	150	GOLDEN HILL	165	1
		M_55660_898700	150	GOLDEN HILL	135	1
		M_55557_898652	150	GOLDEN HILL	125	1
		M_55659_898628	150	GOLDEN HILL	121	1
		M_55623_898579	150	GOLDEN HILL	95	1
		M_55617_898531	150	GOLDEN HILL	75	1
		M_55637_898462	150	GOLDEN HILL	55	1
		M_55601_898498	150	GOLDEN HILL	65	1
		M_55177_898491	150	GOLDEN HILL RD	95	1
		M_55221_898475	150	GOLDEN HILL RD	105	1
		M_55596_898430	150	GOLDEN HILL	45	1
		M_55530_898389	150	GOLDEN HILL RD	205	1
		M_55626_898353	150	GOLDEN HILL	25	1
		M_55576_898372	150	GOLDEN HILL RD	225	1
		M_55484_898393	150	GOLDEN HILL RD	195	1
		M_54790_898200	150	LAUREL ST	405	1
		M_54980_898150	150	LAUREL ST	395	1
		M_54980_898150	150	LAUREL ST	395	1
		M_55031_898084	150	LAUREL ST	355	1
		M_55023_898051	150	LAUREL ST	345	1
		M_55053_898004	150	LAUREL ST	325	1
		M_55068_897930	150	LAUREL ST	305	1
		M_55183_898035	150	LAUREL ST	360	1
		M_55390_898009	150	LAUREL ST	1	1
		M_55841_897986	150	GOLDEN HILL RD	300	1
		M_55494_898301	150	GOLDEN HILL RD	200	1
		M_55578_898273	150	GOLDEN HILL RD	230	1
		M_55686_898240	150	GOLDEN HILL RD	280	1
		M_55441_898402	150	GOLDEN HILL RD	185	1
		M_55382_898414	150	GOLDEN HILL RD	165	1
		M_55104_898100	150	LAUREL ST	350	1
		M_55112_898071	150	LAUREL ST	340	1
		M_55124_898024	150	LAUREL ST	330	1
		M_55133_897990	150	LAUREL ST	320	1
		M_55141_897960	150	LAUREL ST	310	1
		M_55152_897920	150	LAUREL ST	300	1
		M_55163_897881	150	LAUREL ST	280	1
		M_55168_897852	150	LAUREL ST	270	1
		M_54807_898138	150	THERESA TER	215	1
		M_54861_898133	150	THERESA TER	235	1
		M_54748_898133	150	THERESA TER	205	1
		M_54729_898093	150	THERESA TER	195	1
		M_54719_898057	150	THERESA TER	185	1
		M_54710_898022	150	THERESA TER	175	1
		M_54711_897986	150	THERESA TER	165	1
		M_54721_897948	150	THERESA TER	155	1
		M_54731_897911	150	THERESA TER	145	1
		M_54742_897868	150	THERESA TER	135	1
		M_54773_898059	150	THERESA TER	190	1
		M_54809_898075	150	THERESA TER	220	1
		M_54770_898014	150	THERESA TER	170	1
		M_54817_898041	150	THERESA TER	240	1
		M_54777_897978	150	THERESA TER	160	1
		M_54824_898007	150	THERESA TER	250	1
		M_54785_897942	150	THERESA TER	150	1
		M_54831_897972	150	THERESA TER	260	1
		M_54794_897905	150	THERESA TER	140	1
		M_54837_897937	150	THERESA TER	270	1
		M_54843_897902	150	THERESA TER	290	1
		M_54849_897867	150	THERESA TER	300	1
		M_54875_898062	150	THERESA TER	245	1
		M_54882_898022	150	THERESA TER	255	1
		M_54889_897984	150	THERESA TER	265	1
		M_54895_897948	150	THERESA TER	275	1
		M_54901_897909	150	THERESA TER	285	1
		M_54907_897871	150	THERESA TER	295	1
		M_54945_897887	150	THERESA TER	60	1
		M_54984_897894	150	THERESA TER	50	1
		M_55024_897898	150	THERESA TER	40	1
		M_55077_897880	150	THERESA TER	20	1
		M_54804_897869	150	THERESA TER	130	1
		M_54986_897978	150	LAUREL ST	315	1
		M_56011_898582	150	GOLDEN HILL RD	391	1
		M_56462_899090	150	MILL ST	110	1
		M_56808_899062	150	BRADLEY ST	348	1
		M_56661_899033	150	WASHINGTON MT RD	32	1
		M_56690_898978	150	BRADLEY ST	331	1
		M_56852_899053	150	STRINGER AVE	29	1
		M_56899_899050	150	STRINGER AVE	30	1
		M_56804_899039	150	BRADLEY ST	342	1
		M_56844_899018	150	STRINGER AVE	19	1
		M_56890_899013	150	STRINGER AVE	20	1
		M_56795_898998	150	BRADLEY ST	330	1
		M_56836_898983	150	STURGIS AVE	21	1
		M_56882_898980	150	STRINGER AVE	10	1
		M_56480_898941	150	MILL ST	86	1
		M_56576_898968	150	WASHINGTON MT RD	20	1
		M_57308_899024	150	STURGIS AVE	175	1
		M_56491_898832	150	MILL ST	73	1
		M_56554_898864	150	MILL ST	66	1
		M_56622_898832	150	BRADLEY ST	265	1
		M_56654_898866	150	BRADLEY ST	271	1
		M_56684_898911	150	BRADLEY ST	293	1
		M_56766_898935	150	BRADLEY ST	310	1
		M_56764_898898	150	BRADLEY ST	300	1
		M_56802_898934	150	STURGIS AVE	20	1
		M_56829_898913	150	STURGIS AVE	28	1
		M_56738_898867	150	BRADLEY ST	286	1
		M_56903_898908	150	STURGIS AVE	34	1
		M_57392_898982	150	STURGIS AVE	19	1
		M_57392_898982	150	STURGIS AVE	19	1
		M_56612_898760	150	BRADLEY ST	235	1
		M_56689_898688	150	BRADLEY ST	220	1
		M_57020_898497	150	RESERVOIR RD	120	1
		M_57020_898497	150	RESERVOIR RD	120	1
		M_56720_898833	150	BRADLEY ST	274	1
		M_57105_898500	150	RESERVOIR RD	146	1
		M_56713_898796	150	BRADLEY ST	258	1
		M_57374_898826	150	STURGIS AVE	180	1
		M_56289_898491	150	GOLDEN HILL RD	505	1
		M_56706_898763	150	BRADLEY ST	246	1
		M_56557_898605	150	BRADLEY ST	181	1
		M_56476_898596	150	BRADLEY ST	205	1
		M_56624_898629	150	BRADLEY ST	194	1
		M_56742_898605	150	RESERVOIR RD	37	1
		M_57073_898623	150	RESERVOIR RD	81	1
		M_56847_898606	150	RESERVOIR RD	61	1
		M_57170_898567	150	RESERVOIR RD	171	1
		M_57788_898208	150	RESERVOIR RD	200	1
		M_57177_898500	150	RESERVOIR RD	172	1
		M_57241_898482	150	RESERVOIR RD	194	1
		M_56273_898316	150	GOLDEN HILL RD	485	1
		M_55889_898212	150	GOLDEN HILL RD	340	1
		M_56698_898729	150	BRADLEY ST	234	1
		M_56284_898104	150	GOLDEN HILL RD	490	1
		M_56195_898160	150	GOLDEN HILL RD	452	1
		M_56471_898208	150	COLUMBIA ST	405	1
		M_56278_898189	150	GOLDEN HILL RD	468	1
		M_56512_897951	150	GREYLOCK ST	759	1
		M_56634_898571	150	BRADLEY ST	174	1
		M_56361_897658	150	COLUMBIA ST	715	1
		M_56620_898548	150	BRADLEY ST	166	1
		M_56662_898543	150	EAST ST	841	1
		M_56622_898525	150	BRADLEY ST	156	1
		M_56672_898473	150	EAST ST	817	1
		M_56621_898502	150	BRADLEY ST	148	1
		M_56618_898408	150	BRADLEY ST	120	1
		M_56623_898472	150	BRADLEY ST	138	1
		M_56698_898443	150	EAST ST	807	1
		M_56622_898442	150	BRADLEY ST	130	1
		M_56635_898355	150	BRADLEY ST	104	1
		M_56724_898328	150	EAST ST	769	1
		M_56617_898272	150	BRADLEY ST	82	1
		M_56705_898276	150	EAST ST	743	1
		M_56741_898239	150	EAST ST	735	1
		M_56668_898163	150	GREYLOCK ST	820	1
		M_56639_898109	150	GREYLOCK ST	780	1
		M_56759_898093	150	EAST ST	685	1
		M_56754_898124	150	EAST ST	695	1
		M_56605_898058	150	GREYLOCK ST	778	1
		M_56651_897971	150	GREYLOCK ST	766	1
		M_56794_897971	150	EAST ST	655	1
		M_56723_898029	150	GREYLOCK ST	778	1
		M_56675_897923	150	GREYLOCK ST	740	1
		M_56853_897908	150	EAST ST	631	1
		M_56604_897876	150	GREYLOCK ST	720	1
		M_56735_897859	150	GREYLOCK ST	710	1
		M_56875_897840	150	EAST ST	615	1
		M_56890_898272	150	EAST ST	736	1
		M_56816_898285	150	EAST ST	750	1
		M_57003_898072	150	EAST ST	690	1
		M_57003_898072	150	EAST ST	690	1
		M_56885_898219	150	EAST ST	722	1
		M_56890_898182	150	EAST ST	710	1
		M_56899_898003	150	EAST ST	652	1
		M_56928_897953	150	EAST ST	630	1
		M_57117_897944	150	PAUL DR	95	1
		M_57171_897939	150	PAUL DR	105	1
		M_57221_897936	150	PAUL DR	125	1
		M_57307_897929	150	PAUL DR	127	1
		M_56944_897893	150	EAST ST	590	1
		M_57008_897900	150	PAUL DR	65	1
		M_57089_897887	150	PAUL DR	60	1
		M_57150_897880	150	PAUL DR	100	1
		M_57253_897860	150	PAUL DR	135	1
		M_57020_897855	150	PAUL DR	55	1
		M_57102_897846	150	PAUL DR	40	1
		M_56748_898200	150	EAST ST	725	1
		M_56778_898157	150	EAST ST	711	1
		M_56646_898212	150	GREYLOCK ST	830	1
		M_55939_898203	150	GOLDEN HILL RD	356	1
		M_57055_897948	150	PAUL DR	75	1
		M_56892_898054	150	EAST ST	666	1
		M_56843_897939	150	EAST ST	645	1
		M_56706_898387	150	EAST ST	789	1
		M_57246_898578	150	RESERVOIR RD	189	1
		M_56669_898509	150	EAST ST	831	1
		M_56996_897948	150	EAST ST	622	1
		M_57614_899061	150	OFF WASHINGTON MT RD	1	1
		M_57719_898516	150	RESERVOIR RD	300	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
		M_57014_898787	150	EAST ST OCT MT VILLAGE	880	1
